"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2018","6.16","6.15","6.21","6.10","283.56M","0.65%"
"07/31/2018","6.12","6.09","6.20","6.05","283.99M","0.33%"
"07/30/2018","6.10","6.31","6.32","6.07","340.34M","-3.17%"
"07/27/2018","6.30","6.41","6.42","6.25","295.42M","-1.10%"
"07/26/2018","6.37","6.28","6.41","6.26","325.13M","1.11%"
"07/25/2018","6.30","6.23","6.31","6.17","320.18M","1.29%"
"07/24/2018","6.22","6.28","6.37","6.20","354.62M","-0.32%"
"07/23/2018","6.24","6.25","6.25","6.08","301.58M","-0.48%"
"07/20/2018","6.27","6.30","6.34","6.26","222.49M","-0.48%"
"07/19/2018","6.30","6.27","6.33","6.26","235.75M","0.16%"
"07/18/2018","6.29","6.33","6.35","6.24","277.64M","-0.79%"
"07/17/2018","6.34","6.16","6.36","6.13","362.14M","2.09%"
"07/16/2018","6.21","6.21","6.26","6.19","197.04M","-0.32%"
"07/13/2018","6.23","6.30","6.30","6.19","247.16M","-0.80%"
"07/12/2018","6.28","6.23","6.33","6.22","345.51M","1.45%"
"07/11/2018","6.19","6.24","6.27","6.18","367.51M","-2.21%"
"07/10/2018","6.33","6.24","6.35","6.20","360.02M","1.61%"
"07/09/2018","6.23","6.26","6.27","6.15","303.88M","0.81%"
"07/06/2018","6.18","6.04","6.19","6.02","296.35M","1.81%"
"07/05/2018","6.07","5.98","6.07","5.94","306.22M","2.53%"
"07/03/2018","5.92","6.09","6.10","5.91","222.73M","-2.31%"
"07/02/2018","6.06","5.85","6.06","5.83","357.57M","2.36%"
"06/29/2018","5.92","6.09","6.10","5.92","392.30M","-1.66%"
"06/28/2018","6.02","5.88","6.03","5.88","338.01M","2.21%"
"06/27/2018","5.89","6.09","6.16","5.89","453.89M","-2.64%"
"06/26/2018","6.05","6.09","6.14","6.00","478.89M","1.17%"
"06/25/2018","5.98","6.17","6.17","5.89","665.82M","-4.63%"
"06/22/2018","6.27","6.45","6.46","6.26","434.16M","-2.49%"
"06/21/2018","6.43","6.59","6.61","6.42","359.52M","-1.98%"
"06/20/2018","6.56","6.55","6.61","6.51","369.78M","0.92%"
"06/19/2018","6.50","6.52","6.59","6.38","594.93M","-1.96%"
"06/18/2018","6.63","6.59","6.64","6.56","356.27M","0.00%"
"06/15/2018","6.63","6.62","6.69","6.58","432.26M","-0.60%"
"06/14/2018","6.67","6.61","6.73","6.59","430.02M","1.68%"
"06/13/2018","6.56","6.57","6.64","6.55","338.21M","0.00%"
"06/12/2018","6.56","6.54","6.58","6.49","319.16M","0.61%"
"06/11/2018","6.52","6.54","6.59","6.50","265.37M","-0.61%"
"06/08/2018","6.56","6.50","6.60","6.48","360.46M","-0.15%"
"06/07/2018","6.57","6.62","6.64","6.48","369.45M","-0.90%"
"06/06/2018","6.63","6.54","6.63","6.52","371.35M","0.00%"
"06/05/2018","6.63","6.62","6.66","6.58","391.71M","0.15%"
"06/04/2018","6.62","6.47","6.64","6.44","642.03M","2.80%"
"06/01/2018","6.44","6.35","6.45","6.34","421.97M","2.22%"
"05/31/2018","6.30","6.29","6.38","6.28","493.87M","-0.32%"
"05/30/2018","6.32","6.25","6.33","6.22","390.99M","1.77%"
"05/29/2018","6.21","6.21","6.28","6.17","352.68M","-0.32%"
